iter,run_name,symbol,preset,base_ckpt,base_run_name,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,val_n_trials,val_episodes_per_trial,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,target_kl,seed,val_seed,rollout_trials,episodes_per_trial,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
21,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,474466,-3.465385049194943e-06,1853.3828125,-0.0010047245416092152,0.0033600031064447548,2.9194685644789608e-06,0.8732374911616974,0.004182373302661814,0.039595609495901775,0.32431621204750705,0.02129143792142161,0.9999999999999845,-2.129143792142128e-06,50,4,317.0759150981903,0.020780274364612064,4,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
22,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,424657,-3.895442304023453e-06,1658.81640625,-0.00366877975128717,0.0006827712025777396,3.7233190820367557e-06,0.8706825419081635,0.00421108473036309,0.04119270692967972,0.310345389205834,0.02135093954154899,0.9999999999999849,-2.135093954154866e-06,50,4,306.68372917175293,0.020780274364612064,5,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
23,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,443788,-4.396827560044642e-06,1733.546875,-0.0012162709798535947,0.0031455894237031458,4.361011136882244e-06,0.8728081962581357,0.004467140326487268,0.03256591904384799,0.35277401275389186,0.021963413788365572,0.9999999999999849,-2.196341378836524e-06,50,4,299.8855571746826,0.020780274364612064,6,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
24,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,453963,-3.8341727832616744e-06,1773.29296875,-0.0005876125128747061,0.0038231076948558092,1.9224657753981994e-06,0.882336310518199,0.004852957841662956,0.044572660979525794,0.3519932850681502,0.021557615548034717,0.9999999999999852,-2.155761554803439e-06,50,4,306.6751220226288,0.020780274364612064,7,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
25,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,450456,-4.077302265235574e-06,1759.59375,-0.0007710442640376787,0.0036474515307511127,9.013151323359085e-07,0.8837893165811135,0.0030967277588567488,0.02657826128585713,0.3779316259561664,0.022593109687775326,0.9999999999999852,-2.2593109687774997e-06,50,4,302.12404704093933,0.020780274364612064,8,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
26,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,454392,-3.705151055894495e-06,1774.96875,-0.007280327092145456,-0.00296469476258252,2.0395590072306166e-06,0.8633304408754403,0.004217091404110969,0.045753851509557394,0.3097116517992065,0.021840895536502206,0.9999999999999855,-2.184089553650188e-06,50,4,349.5439507961273,0.020780274364612064,9,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
27,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,470018,-3.62885895438226e-06,1836.0078125,0.0026310693702801128,0.006943625913997968,8.050153172964844e-06,0.8633163410034614,0.006341331650615664,0.052475025260454826,0.4211770220105125,0.021749223474593817,0.9999999999999853,-2.1749223474593493e-06,50,4,311.7089960575104,0.020780274364612064,10,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
28,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,468300,-3.7084697963339146e-06,1829.296875,-0.002300639229032111,0.0020733283783238637,3.487777303588171e-06,0.8751423141526786,0.005689054877140871,0.0477551039728077,0.3612917268979647,0.021708357476513243,0.9999999999999845,-2.170835747651291e-06,50,4,326.52780413627625,0.020780274364612064,11,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
29,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,455968,-3.4949938110456547e-06,1781.125,-0.0015694100238686922,0.0028430890361589114,4.002633506344437e-06,0.8829000936478985,0.004859389615665684,0.04436608866683911,0.3522251956012784,0.022188509374269017,0.9999999999999847,-2.2188509374268676e-06,50,4,304.59507393836975,0.020780274364612064,12,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
30,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,438217,-3.868347046313949e-06,1711.78515625,-0.003086703746467484,0.0013717914076020559,3.0081153102097574e-06,0.891999862053328,0.005172844271125722,0.04295332009307997,0.3398100550467562,0.021804113910061304,0.9999999999999848,-2.180411391006097e-06,50,4,313.42169189453125,0.020780274364612064,13,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
