iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
21,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15182,-6.741034851737268e-05,59.3046875,-0.06455426407711846,0.0004523626320580755,2.9904803159297445e-05,1.3004315452916282,0.001462805296221819,0.05872692897516702,0.5071813916521413,0.7044136565971816,1.0,-7.044136565971816e-05,19.312022924423218,0.7044136565971816,0,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
22,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14999,-6.696989155351076e-05,58.58984375,-0.06524109379905793,0.000679949523390745,3.0079994922339716e-05,1.3187216396133106,0.0017892764215363722,0.05937508916314174,0.35450742745565045,0.7581133723413126,1.0,-7.581133723413126e-05,19.806259870529175,0.7044136565971816,1,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
23,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15035,-6.660205457561956e-05,58.73046875,-0.0663934635264533,0.0001818088387525079,2.6926460369785282e-05,1.3317746801035746,0.0014116314155864325,0.04907689712542508,0.377883792668581,0.7228571118999636,1.0,-7.228571118999636e-05,19.828078031539917,0.7044136565971816,2,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
24,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15142,-6.69669482614609e-05,59.1484375,-0.06804840229451656,-0.0002947531825193472,1.9097292624792318e-05,1.3552639331136431,0.0018254661688885548,0.052107228967361155,0.32567407563328743,0.7475553318554106,1.0,-7.475553318554105e-05,19.311068773269653,0.7044136565971816,3,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
25,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15242,-6.535083731111322e-05,59.5390625,-0.06867394272962378,-0.00021254179730379217,1.9662129823751053e-05,1.3694246171249285,0.0013102853975934187,0.05292908447154332,0.36267005440054667,0.7720792131649636,1.0,-7.720792131649636e-05,19.477604150772095,0.7044136565971816,4,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
26,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14929,-6.528479565911758e-05,58.31640625,-0.06904972336654153,0.0004203757440478168,2.9990901436706607e-05,1.3897018671035766,0.002250119244849556,0.06326323013220514,0.41553843361990794,0.7319623213850825,1.0,-7.319623213850825e-05,19.252889156341553,0.7044136565971816,5,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
27,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14616,-6.72253896704989e-05,57.09375,-0.0701218328039561,4.789909310757448e-05,3.5814474884838484e-05,1.4037527552672795,0.0013412846505745765,0.06446313347135271,0.4650596121592181,0.7340974919551871,1.0,-7.340974919551871e-05,18.90998601913452,0.7044136565971816,6,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
28,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14792,-6.923218357442396e-05,57.78125,-0.07089510634541511,0.00031926193950286205,2.7343787158835247e-05,1.4245607699666705,0.0015498553975900973,0.055914163561205245,0.4785623410982745,0.7361945847096308,1.0,-7.361945847096306e-05,19.41404700279236,0.7044136565971816,7,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
29,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14354,-6.961573669329716e-05,56.0703125,-0.0727478019783602,-0.0005866813114024446,2.8946070040761053e-05,1.4435118384221022,0.0016679605604681142,0.04813085241339115,0.2627843720564509,0.747493914348944,1.0,-7.474939143489438e-05,19.288009881973267,0.7044136565971816,8,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
30,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14552,-6.84419552898737e-05,56.84375,-0.07310474614667542,-0.00014614475894097055,2.9760186360844647e-05,1.459469604141572,0.001241495061656243,0.04868763876455726,0.31387572935508457,0.7374387510021363,1.0,-7.374387510021362e-05,19.027017831802368,0.7044136565971816,9,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
