run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1,0.02087687732222027,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1.csv,16,32,0.1,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1,0.020878019976149007,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed1.csv,16,32,0.2,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1,0.02087854360248822,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1.csv,16,32,0.1,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed3,0.02087947777028002,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed3.csv,16,32,0.2,0.005,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,0.020880992269275714,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3,0.020881300308198222,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed3.csv,16,32,0.2,0.01,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1,0.020882027609755244,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed1.csv,16,32,0.2,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,0.020884256608568894,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3.csv,16,32,0.2,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1,0.02088511623538821,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed1.csv,16,32,0.2,0.01,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,1,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3,0.02088542115692417,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed3.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,3,buy,0.0,50.0,999
